name,type,team,salary,prior_value
Torres, Gleyber,batter,DET,23,66.350
Trout, Mike,batter,LAA,23,64.150
Yelich, Christian,batter,MIL,23,74.150
Abbott, Andrew,pitcher,CIN,23,29.110
Abel, Mick,pitcher,MIN,23,-19.850
Abreu, Bryan,pitcher,HOU,23,9.530
Adam, Jason,pitcher,SD,23,5.200
Alcantara, Sandy,pitcher,MIA,23,13.210
Alexander, Jason,pitcher,HOU,23,-11.400
Alexander, Tyler,pitcher,CWS,23,-19.540
Allard, Kolby,pitcher,CLE,23,-14.070
Allen, Logan,pitcher,CLE,23,10.030
Altavilla, Dan,pitcher,CWS,23,-26.010
Alvarado, Elvis,pitcher,ATH,23,-17.160
Alvarado, José,pitcher,PHI,23,-24.230
Alvarez, Andrew,pitcher,WSH,23,31.300
Anderson, Grant,pitcher,MIL,23,-7.280
Anderson, Tyler,pitcher,LAA,23,-8.030
Armstrong, Shawn,pitcher,TEX,23,22.000
Arrighetti, Spencer,pitcher,HOU,23,-2.200
Ashby, Aaron,pitcher,MIL,23,2.520
Ashcraft, Braxton,pitcher,PIT,23,2.330
Ashcraft, Graham,pitcher,CIN,23,-18.840
Assad, Javier,pitcher,CHC,23,10.280
Bachar, Lake,pitcher,MIA,23,-18.960
Bachman, Sam,pitcher,LAA,23,-30.540
Baker, Bryan,pitcher,TB,23,-24.070
Banda, Anthony,pitcher,LAD,23,-30.070
Banks, Tanner,pitcher,PHI,23,-14.210
Barlow, Scott,pitcher,CIN,23,-26.270
Barnett, Mason,pitcher,ATH,23,-16.290
Bassitt, Chris,pitcher,TOR,23,14.610
Bautista, Félix,pitcher,BAL,23,-4.970
Baz, Shane,pitcher,TB,23,8.790
Bazardo, Eduard,pitcher,SEA,23,-0.800
Beck, Tristan,pitcher,SF,23,-15.120
Bednar, David,pitcher,NYY,23,8.230
Beeks, Jalen,pitcher,AZ,23,-16.440
Beeter, Clayton,pitcher,WSH,23,-25.500
Bello, Brayan,pitcher,BOS,23,20.200
Bender, Anthony,pitcher,MIA,23,-3.980
Bergert, Ryan,pitcher,KC,23,12.380
Bernardino, Brennan,pitcher,BOS,23,-20.770
Berríos, José,pitcher,TOR,23,7.190
Bibee, Tanner,pitcher,CLE,23,15.530
Bieber, Shane,pitcher,TOR,23,17.520
Birdsong, Hayden,pitcher,SF,23,-17.610
Bivens, Spencer,pitcher,SF,23,-15.260
Blanco, Ronel,pitcher,HOU,23,14.810
Blubaugh, AJ,pitcher,HOU,23,-3.120
Bowlan, Jonathan,pitcher,KC,23,-22.000
Boyd, Matthew,pitcher,CHC,23,31.540
Boyle, Joe,pitcher,TB,23,-2.370
Bradley, Taj,pitcher,MIN,23,12.120
Brash, Matt,pitcher,SEA,23,-12.430
Brazobán, Huascar,pitcher,NYM,23,-16.040
Brown, Ben,pitcher,CHC,23,-4.400
Brubaker, JT,pitcher,SF,23,-15.530
Bubic, Kris,pitcher,KC,23,32.910
Buehler, Walker,pitcher,PHI,23,-16.460
Bummer, Aaron,pitcher,ATL,23,-11.820
Burke, Sean,pitcher,CWS,23,-11.730
Burnes, Corbin,pitcher,AZ,23,26.830
Burns, Chase,pitcher,CIN,23,9.170
Burrows, Mike,pitcher,PIT,23,13.840
Cabrera, Edward,pitcher,MIA,23,21.890
Cameron, Noah,pitcher,KC,23,27.680
Canning, Griffin,pitcher,NYM,23,8.710
Cannon, Jonathan,pitcher,CWS,23,-15.460
Cantillo, Joey,pitcher,CLE,23,-0.410
Casparius, Ben,pitcher,LAD,23,-17.630
Castillo, Luis,pitcher,SEA,23,20.980
Cavalli, Cade,pitcher,WSH,23,-3.100
Cease, Dylan,pitcher,SD,23,17.990
Cecconi, Slade,pitcher,CLE,23,6.180
Chandler, Bubba,pitcher,PIT,23,38.260
Chapman, Aroldis,pitcher,BOS,23,31.630
Civale, Aaron,pitcher,CHC,23,-1.250
Clarke, Taylor,pitcher,KC,23,-3.560
Clase, Emmanuel,pitcher,CLE,23,-14.310
Cleavinger, Garrett,pitcher,TB,23,-7.110
Corbin, Patrick,pitcher,TEX,23,10.380
Coulombe, Danny,pitcher,TEX,23,-4.710
Crismatt, Nabil,pitcher,AZ,23,-6.670
Cruz, Fernando,pitcher,NYY,23,-8.110
Curtiss, John,pitcher,AZ,23,-13.460
Darvish, Yu,pitcher,SD,23,-6.270
deGrom, Jacob,pitcher,TEX,23,34.890
Detmers, Reid,pitcher,LAA,23,-3.640
Díaz, Edwin,pitcher,NYM,23,32.520
Dobbins, Hunter,pitcher,BOS,23,5.620
Dodd, Dylan,pitcher,ATL,23,-5.560
Domínguez, Seranthony,pitcher,TOR,23,-14.970
Doval, Camilo,pitcher,NYY,23,-14.810
Dreyer, Jack,pitcher,LAD,23,5.070
Duran, Jhoan,pitcher,PHI,23,1.140
Elder, Bryce,pitcher,ATL,23,2.620
Englert, Mason,pitcher,TB,23,-0.440
Enright, Nic,pitcher,CLE,23,-6.400
Erceg, Lucas,pitcher,KC,23,-2.360
Estévez, Carlos,pitcher,KC,23,-10.670
Evans, Logan,pitcher,SEA,23,2.100
Fairbanks, Pete,pitcher,TB,23,-13.370
Falter, Bailey,pitcher,KC,23,-5.230
Feltner, Ryan,pitcher,COL,23,1.140
Ferguson, Tyler,pitcher,ATH,23,-12.600
Ferrer, José A.,pitcher,WSH,23,-4.430
Festa, David,pitcher,MIN,23,-1.660
Festa, Matt,pitcher,CLE,23,-4.980
Finnegan, Kyle,pitcher,DET,23,2.050
Fisher, Braydon,pitcher,TOR,23,2.550
Flaherty, Jack,pitcher,DET,23,14.580
Freeland, Kyle,pitcher,COL,23,5.610
Gallen, Zac,pitcher,AZ,23,6.250
Gibson, Cade,pitcher,MIA,23,-4.560
Gil, Luis,pitcher,NYY,23,6.630
Giolito, Lucas,pitcher,BOS,23,18.420
Glasnow, Tyler,pitcher,LAD,23,36.530
González, Wikelman,pitcher,CWS,23,-3.710
Gore, MacKenzie,pitcher,WSH,23,16.940
Gray, Sonny,pitcher,STL,23,17.410
Greene, Hunter,pitcher,CIN,23,37.060
Hader, Josh,pitcher,HOU,23,1.750
Hall, DL,pitcher,MIL,23,-0.910
Harrison, Kyle,pitcher,BOS,23,-0.940
Hendricks, Kyle,pitcher,LAA,23,6.540
Henriquez, Ronny,pitcher,MIA,23,4.170
Herget, Jimmy,pitcher,COL,23,-1.170
Holmes, Clay,pitcher,NYM,23,20.810
Holmes, Grant,pitcher,ATL,23,10.610
Houser, Adrian,pitcher,TB,23,19.670
Imanaga, Shota,pitcher,CHC,23,9.230
Javier, Cristian,pitcher,HOU,23,11.840
Junk, Janson,pitcher,MIA,23,19.530
Keller, Brad,pitcher,CHC,23,15.030
Keller, Mitch,pitcher,PIT,23,13.520
Kelly, Merrill,pitcher,TEX,23,24.520
Kershaw, Clayton,pitcher,LAD,23,17.690
Kikuchi, Yusei,pitcher,LAA,23,7.560
King, Michael,pitcher,SD,23,6.250
Kirby, George,pitcher,SEA,23,23.730
Kolek, Stephen,pitcher,KC,23,30.360
Kremer, Dean,pitcher,BAL,23,18.400
Leiter, Jack,pitcher,TEX,23,23.320
Liberatore, Matthew,pitcher,STL,23,11.170
Lodolo, Nick,pitcher,CIN,23,27.500
López, Pablo,pitcher,MIN,23,33.520
Megill, Tylor,pitcher,NYM,23,18.400
Messick, Parker,pitcher,CLE,23,19.070
Miller, Mason,pitcher,SD,23,26.380
Schlittler, Cam,pitcher,NYY,23,29.350
Valdez, Framber,pitcher,HOU,23,33.820
Bernabel, Warming,batter,COL,22,59.550
Burger, Jake,batter,TEX,22,59.600
Caratini, Victor,batter,HOU,22,56.100
Contreras, Willson,batter,STL,22,63.500
Crawford, J.P.,batter,SEA,22,62.650
Fraley, Jake,batter,ATL,22,63.350
Keith, Colt,batter,DET,22,64.150
Lopez, Otto,batter,MIA,22,64.750
Lukes, Nathan,batter,TOR,22,66.550
Marte, Noelvi,batter,CIN,22,66.350
Marte, Starling,batter,NYM,22,65.450
Monasterio, Andruw,batter,MIL,22,64.050
Perez, Salvador,batter,KC,22,57.850
Pérez, Wenceel,batter,DET,22,67.100
Rafaela, Ceddanne,batter,BOS,22,65.100
Smith, Pavin,batter,AZ,22,60.950
Straw, Myles,batter,TOR,22,65.400
Torkelson, Spencer,batter,DET,22,69.400
Akin, Keegan,pitcher,BAL,22,-38.000
Backhus, Kyle,pitcher,AZ,22,-37.380
Bellozo, Valente,pitcher,MIA,22,-32.480
Bird, Jake,pitcher,NYY,22,-30.010
Blackburn, Paul,pitcher,NYY,22,-29.950
Brasier, Ryan,pitcher,CHC,22,-25.950
Buttó, José,pitcher,SF,22,-23.430
Dollander, Chase,pitcher,COL,22,-15.160
Fedde, Erick,pitcher,MIL,22,-13.370
Ferguson, Caleb,pitcher,SEA,22,-15.350
Garcia, Rico,pitcher,BAL,22,-13.030
García, Yimi,pitcher,TOR,22,-10.920
Gordon, Tanner,pitcher,COL,22,-10.370
Littell, Zack,pitcher,CIN,22,6.340
Lopez, Jacob,pitcher,ATH,22,4.950
McGreevy, Michael,pitcher,STL,22,10.790
Misiorowski, Jacob,pitcher,MIL,22,15.360
Mize, Casey,pitcher,DET,22,12.330
Nelson, Ryne,pitcher,AZ,22,21.270
Okert, Steven,pitcher,HOU,22,17.720
Pérez, Eury,pitcher,MIA,22,23.040
Pérez, Martín,pitcher,CWS,22,25.510
Arozarena, Randy,batter,SEA,21,61.850
Baty, Brett,batter,NYM,21,63.000
Bauers, Jake,batter,MIL,21,63.400
Bell, Josh,batter,WSH,21,65.500
Carter, Evan,batter,TEX,21,68.100
Chapman, Matt,batter,SF,21,71.100
Clement, Ernie,batter,TOR,21,69.000
Collins, Isaac,batter,MIL,21,69.200
Contreras, William,batter,MIL,21,69.900
De La Cruz, Elly,batter,CIN,21,66.800
Hicks, Liam,batter,MIA,21,56.950
Kiner-Falefa, Isiah,batter,TOR,21,59.350
Naylor, Bo,batter,CLE,21,55.200
Rutschman, Adley,batter,BAL,21,60.450
Story, Trevor,batter,BOS,21,63.450
Swanson, Dansby,batter,CHC,21,59.450
Tena, José,batter,WSH,21,64.500
Vargas, Ildemaro,batter,AZ,21,61.900
Wallner, Matt,batter,MIN,21,63.550
Wells, Austin,batter,NYY,21,61.850
Yoshida, Masataka,batter,BOS,21,64.800
Adams, Travis,pitcher,MIN,21,-54.460
Agnos, Zach,pitcher,COL,21,-52.280
Boushley, Caleb,pitcher,TEX,21,-32.240
Burke, Brock,pitcher,LAA,21,-26.680
Chafin, Andrew,pitcher,LAA,21,-24.860
Cruz, Steven,pitcher,KC,21,-21.050
De Los Santos, Enyel,pitcher,HOU,21,-20.400
De los Santos, Yerry,pitcher,NYY,21,-23.120
Estrada, Jeremiah,pitcher,SD,21,-19.640
Farris, Mitch,pitcher,LAA,21,-17.240
Gonsolin, Tony,pitcher,LAD,21,-14.130
Hagenman, Justin,pitcher,NYM,21,-13.280
Hancock, Emerson,pitcher,SEA,21,-11.530
Hurter, Brant,pitcher,DET,21,-5.120
Lauer, Eric,pitcher,TOR,21,1.050
Lively, Ben,pitcher,CLE,21,1.280
Lorenzen, Michael,pitcher,KC,21,3.200
Martin, Davis,pitcher,CWS,21,4.680
May, Dustin,pitcher,BOS,21,3.870
Ortiz, Luis,pitcher,CLE,21,15.890
Peterson, David,pitcher,NYM,21,20.300
Ragans, Cole,pitcher,KC,21,29.630
Rasmussen, Drew,pitcher,TB,21,25.350
Rodón, Carlos,pitcher,NYY,21,32.650
Acuña, Luisangel,batter,NYM,20,54.600
Arenado, Nolan,batter,STL,20,53.450
Báez, Javier,batter,DET,20,53.650
Baldwin, Brooks,batter,CWS,20,54.050
Beck, Jordan,batter,COL,20,52.800
Benson, Will,batter,CIN,20,60.400
Bleday, JJ,batter,ATH,20,55.300
Bohm, Alec,batter,PHI,20,60.950
Butler, Lawrence,batter,ATH,20,59.650
Caballero, José,batter,NYY,20,55.300
Castellanos, Nick,batter,PHI,20,54.850
Cronenworth, Jake,batter,SD,20,63.950
Domínguez, Jasson,batter,NYY,20,60.450
Dubón, Mauricio,batter,HOU,20,57.700
Edman, Tommy,batter,LAD,20,58.950
Estrada, Thairo,batter,COL,20,58.400
Friedl, TJ,batter,CIN,20,67.400
García Jr., Luis,batter,WSH,20,65.100
Gurriel Jr., Lourdes,batter,AZ,20,64.150
Haggerty, Sam,batter,TEX,20,59.950
Harris II, Michael,batter,ATL,20,62.350
Lowe, Brandon,batter,TB,20,70.850
Marsh, Brandon,batter,PHI,20,68.650
Alcala, Jorge,pitcher,STL,20,-70.820
Bido, Osvaldo,pitcher,ATH,20,-44.700
Blewett, Scott,pitcher,BAL,20,-40.050
Borucki, Ryan,pitcher,TOR,20,-37.160
Eflin, Zach,pitcher,BAL,20,-23.140
Enns, Dietrich,pitcher,BAL,20,-22.200
Flexen, Chris,pitcher,CHC,20,-19.140
Fulmer, Carson,pitcher,LAA,20,-18.460
Hanifee, Brenan,pitcher,DET,20,-14.640
Hill, Jaden,pitcher,COL,20,-11.370
Iglesias, Raisel,pitcher,ATL,20,-9.010
Latz, Jacob,pitcher,TEX,20,-4.230
Lugo, Seth,pitcher,KC,20,0.700
Manaea, Sean,pitcher,NYM,20,0.760
Martinez, Nick,pitcher,CIN,20,1.590
Meyer, Max,pitcher,MIA,20,4.250
Morales, Luis,pitcher,ATH,20,5.720
Morejon, Adrian,pitcher,SD,20,7.500
Muñoz, Andrés,pitcher,SEA,20,7.530
Nance, Tommy,pitcher,TOR,20,8.060
Oviedo, Johan,pitcher,PIT,20,9.420
Patrick, Chad,pitcher,MIL,20,12.730
Pepiot, Ryan,pitcher,TB,20,12.600
Priester, Quinn,pitcher,MIL,20,17.580
Ray, Robbie,pitcher,SF,20,18.840
Rodríguez, Randy,pitcher,SF,20,22.130
Ryan, Joe,pitcher,MIN,20,24.970
Alexander, Blaze,batter,AZ,19,46.650
Allen, Nick,batter,ATL,19,44.650
Bart, Joey,batter,PIT,19,48.350
Cabrera, Oswaldo,batter,NYY,19,48.400
Castro, Willi,batter,CHC,19,51.900
Crews, Dylan,batter,WSH,19,49.250
Cruz, Oneil,batter,PIT,19,48.900
Espinal, Santiago,batter,CIN,19,55.800
Flores, Wilmer,batter,SF,19,54.400
Frazier, Adam,batter,KC,19,54.800
Gonzales, Nick,batter,PIT,19,57.050
Hernaiz, Darell,batter,ATH,19,58.250
Hernández, Teoscar,batter,LAD,19,61.450
Holliday, Jackson,batter,BAL,19,58.900
Hoskins, Rhys,batter,MIL,19,56.250
Isbel, Kyle,batter,KC,19,57.600
Jackson, Jeremiah,batter,BAL,19,61.000
Jansen, Danny,batter,MIL,19,56.500
Jeffers, Ryan,batter,MIN,19,61.500
Kepler, Max,batter,PHI,19,60.950
Larnach, Trevor,batter,MIN,19,58.900
Lux, Gavin,batter,CIN,19,65.500
Manzardo, Kyle,batter,CLE,19,62.550
Mastrobuoni, Miles,batter,SEA,19,61.450
Ozuna, Marcell,batter,ATL,19,65.850
Blalock, Bradley,pitcher,COL,19,-57.420
Bowman, Matt,pitcher,BAL,19,-42.530
Brogdon, Connor,pitcher,LAA,19,-46.520
Brown, McCade,pitcher,COL,19,-48.080
Cano, Yennier,pitcher,BAL,19,-40.250
Carrasco, Carlos,pitcher,ATL,19,-35.590
Castillo, José,pitcher,BAL,19,-36.180
Dana, Caden,pitcher,LAA,19,-32.750
Faucher, Calvin,pitcher,MIA,19,-26.120
Fitts, Richard,pitcher,BOS,19,-21.430
Fluharty, Mason,pitcher,TOR,19,-20.010
Funderburk, Kody,pitcher,MIN,19,-19.930
Gaddis, Hunter,pitcher,CLE,19,-20.900
Garcia, Robert,pitcher,TEX,19,-20.690
Garrett, Reed,pitcher,NYM,19,-18.080
Gilbert, Tyler,pitcher,CWS,19,-17.750
Ginn, J.T.,pitcher,ATH,19,-19.040
Harris, Hogan,pitcher,ATH,19,-16.960
Headrick, Brent,pitcher,NYY,19,-14.450
Irvin, Jake,pitcher,WSH,19,-13.660
Jansen, Kenley,pitcher,LAA,19,-11.390
Jobe, Jackson,pitcher,DET,19,-9.450
Kittredge, Andrew,pitcher,CHC,19,-8.400
Leahy, Kyle,pitcher,STL,19,-5.550
Maton, Phil,pitcher,TEX,19,-1.010
Matthews, Zebby,pitcher,MIN,19,-2.380
Perkins, Jack,pitcher,ATH,19,8.860
Quintana, Jose,pitcher,MIL,19,13.410
Schmidt, Clarke,pitcher,NYY,19,23.540
Soriano, José,pitcher,LAA,19,24.050
Alvarez Jr., Nacho,batter,ATL,18,40.450
Amador, Adael,batter,COL,18,34.150
Arias, Gabriel,batter,CLE,18,35.050
Bailey, Patrick,batter,SF,18,34.100
Berti, Jon,batter,CHC,18,39.000
Campbell, Kristian,batter,BOS,18,44.050
Carlson, Dylan,batter,BAL,18,45.350
Conforto, Michael,batter,LAD,18,42.250
Cowser, Colton,batter,BAL,18,44.250
Dezenzo, Zach,batter,HOU,18,48.150
Doyle, Brenton,batter,COL,18,48.850
Encarnacion-Strand, Christian,batter,CIN,18,46.950
Fermin, Freddy,batter,SD,18,46.050
France, Ty,batter,TOR,18,48.550
Freeman, Cody,batter,TEX,18,46.750
García, Adolis,batter,TEX,18,51.050
Grichuk, Randal,batter,KC,18,49.750
Higashioka, Kyle,batter,TEX,18,54.750
Ibáñez, Andy,batter,DET,18,55.250
India, Jonathan,batter,KC,18,51.050
Jackson, Alex,batter,BAL,18,52.900
Kayfus, CJ,batter,CLE,18,54.350
Kim, Ha-Seong,batter,ATL,18,51.950
Kim, Hyeseong,batter,LAD,18,53.450
Lewis, Royce,batter,MIN,18,54.250
McCutchen, Andrew,batter,PIT,18,58.250
Meidroth, Chase,batter,CWS,18,58.500
Mullins, Cedric,batter,NYM,18,58.400
Booser, Cam,pitcher,CWS,18,-58.810
Brebbia, John,pitcher,ATL,18,-52.360
Brieske, Beau,pitcher,DET,18,-64.900
Dubin, Shawn,pitcher,BAL,18,-37.430
Gibaut, Ian,pitcher,CIN,18,-24.330
Gusto, Ryan,pitcher,MIA,18,-20.380
Hamilton, Ian,pitcher,NYY,18,-20.040
Heaney, Andrew,pitcher,LAD,18,-19.790
Jax, Griffin,pitcher,TB,18,-14.550
Junis, Jakob,pitcher,CLE,18,-13.290
King, Bryan,pitcher,HOU,18,-13.110
Kinley, Tyler,pitcher,ATL,18,-13.380
Koenig, Jared,pitcher,MIL,18,-14.290
Mattson, Isaac,pitcher,PIT,18,-4.330
Mazur, Adam,pitcher,MIA,18,-8.690
Megill, Trevor,pitcher,MIL,18,-3.830
Melton, Troy,pitcher,DET,18,-3.860
Miller, Shelby,pitcher,MIL,18,-3.460
Mlodzinski, Carmen,pitcher,PIT,18,-5.230
Nola, Aaron,pitcher,PHI,18,2.120
O'Brien, Riley,pitcher,STL,18,-3.100
Pallante, Andre,pitcher,STL,18,2.130
Pfaadt, Brandon,pitcher,AZ,18,4.290
Povich, Cade,pitcher,BAL,18,2.450
Raley, Brooks,pitcher,NYM,18,8.330
Rea, Colin,pitcher,CHC,18,4.650
Santana, Dennis,pitcher,PIT,18,10.110
Senga, Kodai,pitcher,NYM,18,13.240
Severino, Luis,pitcher,ATH,18,14.160
Singer, Brady,pitcher,CIN,18,20.280
Smith, Shane,pitcher,CWS,18,20.560
Soroka, Michael,pitcher,CHC,18,19.850
Sproat, Brandon,pitcher,NYM,18,17.400
Adams, Riley,batter,WSH,17,20.250
Arcia, Orlando,batter,COL,17,27.450
Basallo, Samuel,batter,BAL,17,31.200
Canario, Alexander,batter,PIT,17,32.600
